"TCGA-A3-3320-01A-02R-1325-07"	"TCGA-A3-3323-01A-02R-1325-07"	"TCGA-A3-3326-01A-01R-0864-07"	"TCGA-A3-A6NJ-01A-12R-A33J-07"	"TCGA-A3-A8OU-01A-11R-A37O-07"	"TCGA-AS-3778-01A-01R-A32Z-07"	"TCGA-B0-5690-01A-11R-1541-07"	"TCGA-B4-5834-01A-11R-1672-07"	"TCGA-B4-5844-01A-11R-1672-07"	"TCGA-B8-A54K-01A-11R-A33J-07"	"TCGA-BP-4165-01A-02R-1289-07"	"TCGA-CW-6093-01A-11R-1672-07"	"TCGA-EU-5904-01A-11R-1672-07"	"TCGA-T7-A92I-01A-11R-A37O-07"
"?|100130426"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"?|100133144"	12.7718	19.2964	1.8298	4.3457	7.5498	7.983	1.1286	4.6036	4.2645	12.2136	0.8462	11.4019	5.1455	3.8379
"?|100134869"	11.6465	6.7277	0.9149	6.0584	8.2974	11.4447	3.7082	3.4566	0.6372	10.6281	4.1611	5.3183	2.041	9.6231
"?|10357"	91.3032	76.9398	86.5416	59.4398	72.3121	49.9576	81.8662	80.5456	105.5228	65.744	82.8316	87.8746	88.1315	72.3542
"?|10431"	454.7465	355.6627	365.9652	524.2097	642.0154	378.6648	506.2475	431.2175	581.7971	345.3141	959.4079	592.283	369.3856	1088.8424
"?|136542"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"?|155060"	222.2419	366.747	472.0952	228.4914	250.3048	328.1526	99.5566	30.0705	47.132	361.4377	248.8652	134.0836	100.9702	124.14
"?|26823"	1.4156	0.4819	0.9149	0	1.219	1.0597	0	0	0.3771	1.7915	1.5022	0.3215	0	1.4957
"?|280660"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"?|317712"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"?|340602"	0	1.9277	2.7447	1.2005	2.438	2.1194	1.2092	0.62	0	4.0309	5.5081	0.6431	0.7186	0.2991
"?|388795"	0	0	0	0.4002	0	0.3532	0	0.31	0	1.3436	0.5007	0.3215	0	0.8974
"?|390284"	2.1233	7.7108	6.4044	6.4026	6.9078	5.6517	5.6429	3.7201	3.7706	8.5097	6.5096	3.8585	4.3119	5.3844
"?|391343"	0.3539	0.4819	0	0	0.4063	0	0	0	0	0.8958	0	0	0	0.2991
"?|391714"	0.7078	2.4096	0	0	0.4063	0	0.8061	0	0	0.8958	1.0015	0.3215	0	0.8974
"?|404770"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"?|441362"	0	0	0	0.4002	0	0	0	0	0	0	0	0	0	0
"?|442388"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"?|553137"	651.5084	530.6024	1053.9799	10.4042	431.5319	355.3515	143.4905	507.7889	296.3658	317.5456	1072.0733	474.5981	661.5163	113.0721
"?|57714"	1322.1269	1890.6024	772.1866	785.5142	624.5429	866.8315	765.8202	646.0513	719.0454	820.9607	626.92	1138.9068	834.3514	961.1128
"?|645851"	19.4639	18.7952	19.2132	7.2029	16.6599	8.1243	6.449	1.24	1.5082	9.4054	12.0176	9.6463	2.8746	12.8627
"?|652919"	3.7229	21.7735	0	0	0	0	31.1608	49.0305	0	21.4982	47.8152	8.7042	0	0
"?|653553"	154.2953	136.8675	276.3038	363.3453	399.0248	326.3864	346.6344	248.0043	200.2166	172.881	726.0655	273.6334	240.7474	550.1047
"?|728045"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"?|728603"	0	0	0	0	0	2.4726	0	0	0	0	0	0	0	0
"?|728788"	6.7239	1.9277	0.9149	0.4002	0.4063	1.4129	2.8214	0	0	0	0.5007	3.8585	4.6712	0.2991
"?|729884"	0	0	2.7447	0	0	0	0	0	0.7541	0	1.0015	0	0.3593	0
"?|8225"	614.3502	511.8072	970.7228	753.9016	788.7038	908.5129	523.1761	409.5172	407.5973	676.296	1021.499	355.627	547.9698	650.9124
"?|90288"	41.7588	99.759	100.6404	32.413	72.7347	51.9251	67.3116	21.7004	16.9675	32.6951	51.5757	19.6141	37.7291	31.4089
